Timestamp,Action,Method,Route,Status,IP
"2026-02-13T09:48:45.449Z","API_HIT","GET","/api/list","404","::1"
"2026-02-13T09:48:51.504Z","API_HIT","GET","/api/list","404","::1"
"2026-02-13T09:48:56.161Z","API_HIT","GET","/api/list","404","::1"
"2026-02-13T09:49:27.006Z","API_HIT","GET","/api/test","200","::1"
"2026-02-13T09:49:28.951Z","API_HIT","GET","/api/test","200","::1"
"2026-02-13T09:49:29.352Z","API_HIT","GET","/api/test","200","::1"
"2026-02-13T09:49:29.592Z","API_HIT","GET","/api/test","200","::1"
"2026-02-13T09:49:29.718Z","API_HIT","GET","/api/test","200","::1"
"2026-02-13T09:49:29.880Z","API_HIT","GET","/api/test","200","::1"
"2026-02-13T09:49:34.428Z","API_HIT","GET","/api/list","404","::1"
"2026-02-13T09:49:37.959Z","API_HIT","GET","/api/list","404","::1"
"2026-02-13T09:49:37.975Z","API_HIT","GET","/favicon.ico","404","::1"
"2026-02-13T09:49:40.341Z","API_HIT","GET","/api/list","404","::1"
"2026-02-13T09:49:40.359Z","API_HIT","GET","/favicon.ico","404","::1"
"2026-02-13T09:49:41.023Z","API_HIT","GET","/api/list","404","::1"
"2026-02-13T09:49:41.047Z","API_HIT","GET","/favicon.ico","404","::1"
"2026-02-13T09:49:41.226Z","API_HIT","GET","/api/list","404","::1"
"2026-02-13T09:49:41.433Z","API_HIT","GET","/api/list","404","::1"
"2026-02-13T09:49:41.625Z","API_HIT","GET","/api/list","404","::1"
"2026-02-13T09:49:41.819Z","API_HIT","GET","/api/list","404","::1"
"2026-02-13T09:49:41.845Z","API_HIT","GET","/favicon.ico","404","::1"
"2026-02-13T09:50:13.950Z","API_HIT","GET","/.well-known/appspecific/com.chrome.devtools.json","404","::1"
"2026-02-13T09:50:18.655Z","API_HIT","GET","/.well-known/appspecific/com.chrome.devtools.json","404","::1"
"2026-02-13T09:50:19.003Z","API_HIT","GET","/api/list","404","::1"
"2026-02-13T09:51:01.945Z","API_HIT","GET","/.well-known/appspecific/com.chrome.devtools.json","404","::1"
"2026-02-13T09:51:02.489Z","API_HIT","GET","/favicon.ico","404","::1"
"2026-02-13T09:51:44.140Z","ROUTE_CREATED","GET","/Dhanupay/user","200","::1"
"2026-02-13T09:51:59.415Z","API_HIT","GET","/Dhanupay/user","200","::1"
"2026-02-13T09:52:24.887Z","ROUTE_CREATED","GET","test/apity","200","::1"
"2026-02-13T10:04:36.474Z","API_HIT","GET","/favicon.ico","404","192.168.1.252"
"2026-02-13T10:04:51.998Z","API_HIT","GET","/api/test","200","192.168.1.252"
"2026-02-13T10:04:58.475Z","API_HIT","GET","/api/testingasdsa","404","192.168.1.252"
"2026-02-13T10:15:00.231Z","API_HIT","GET","/api/list","404","127.0.0.1"
"2026-02-13T10:15:23.642Z","API_HIT","GET","/api/list","404","127.0.0.1"
"2026-02-13T10:15:54.720Z","ROUTE_CREATED","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:15:54.726Z","API_HIT","GET","/api/list","404","127.0.0.1"
"2026-02-13T10:15:58.876Z","ROUTE_CREATED","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:15:58.881Z","API_HIT","GET","/api/list","404","127.0.0.1"
"2026-02-13T10:16:01.496Z","API_HIT","GET","/.well-known/appspecific/com.chrome.devtools.json","404","127.0.0.1"
"2026-02-13T10:16:09.816Z","ROUTE_CREATED","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:16:09.826Z","API_HIT","GET","/api/list","404","127.0.0.1"
"2026-02-13T10:16:36.304Z","API_HIT","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:16:38.377Z","API_HIT","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:16:38.712Z","API_HIT","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:16:38.857Z","API_HIT","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:16:39.008Z","API_HIT","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:16:39.144Z","API_HIT","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:16:39.272Z","API_HIT","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:16:39.385Z","API_HIT","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:16:39.522Z","API_HIT","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:16:39.648Z","API_HIT","GET","/api/new","200","127.0.0.1"
"2026-02-13T10:16:39.792Z","API_HIT","GET","/api/new","200","127.0.0.1"
"2026-02-15T06:16:09.327Z","API_HIT","GET","/favicon.ico","404","127.0.0.1"
"2026-02-15T06:16:45.751Z","API_HIT","GET","/Dhanupay/user","200","127.0.0.1"
